GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.app,MainGUI,1467,0,82,0,306,0,69,0,28,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.app,MainGUI.TextAreaOutputStream,50,0,0,0,12,0,5,0,5,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.app,App,396,0,48,0,106,0,31,0,7,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.app,MainLauncher,31,0,4,0,8,0,4,0,2,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.generator,TestGenerator.GenerationMode,21,0,0,0,4,0,1,0,1,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.generator,TestGenerator,135,0,20,0,40,0,13,0,3,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.generator,JavaPoetTestGenerator,512,0,63,0,84,0,45,0,5,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.generator,AITestGenerator,274,0,18,0,69,0,13,0,4,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.model,ClassModel,30,32,0,0,11,11,6,5,6,5
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.model,ParameterModel,14,15,0,0,5,6,3,3,3,3
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.model,MethodModel,34,50,0,0,11,19,7,8,7,8
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.example,Calculator,35,9,6,2,9,4,9,2,5,2
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.example,StringUtils,63,0,20,0,14,0,14,0,4,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,ConditionCollector,411,0,18,0,64,0,25,0,16,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,ConditionCollector.BranchCondition.Kind,27,0,0,0,1,0,1,0,1,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,ConditionCollectorRunner,119,0,8,0,26,0,6,0,2,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,MethodInspector,55,199,18,28,16,38,16,11,1,3
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,ConditionCollector.AtomicConstraint,33,0,0,0,6,0,2,0,2,0
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,AnalyzerService,75,151,7,9,22,38,9,6,3,4
DoAnTN - Tự động sinh Unit Test cho Java,com.doantn.analyzer,ConditionCollector.BranchCondition,90,0,6,0,15,0,5,0,2,0
